country_code,country_or_region,year,latest_year,emissions_intensity_gco2_per_kwh
AFG,Afghanistan,2020,2020,166.667
,Africa,2020,2021,495.41
ALB,Albania,2020,2020,24.482
DZA,Algeria,2020,2020,485.45
ASM,American Samoa,2020,2020,687.5
AGO,Angola,2020,2020,173.169
ATG,Antigua and Barbuda,2020,2020,676.471
ARG,Argentina,2020,2021,353.052
ARM,Armenia,2020,2021,209.016
ABW,Aruba,2020,2020,586.957
,Asia,2020,2021,543.31
AUS,Australia,2020,2021,560.384
AUT,Austria,2020,2021,142.506
AZE,Azerbaijan,2020,2021,537.051
BHS,Bahamas (the),2020,2020,700.0
BHR,Bahrain,2020,2020,490.14
BGD,Bangladesh,2020,2021,550.318
BRB,Barbados,2020,2020,676.471
BLR,Belarus,2020,2021,472.122
BEL,Belgium,2020,2021,198.201
BLZ,Belize,2020,2020,483.871
BEN,Benin,2020,2020,652.174
BTN,Bhutan,2020,2020,23.464
BOL,Bolivia,2020,2021,319.834
BIH,Bosnia Herzegovina,2020,2021,522.042
BWA,Botswana,2020,2020,800.0
BRA,Brazil,2020,2021,113.069
BRN,Brunei Darussalam,2020,2020,659.483
BGR,Bulgaria,2020,2021,327.368
BFA,Burkina Faso,2020,2020,633.721
BDI,Burundi,2020,2021,218.75
CPV,Cabo Verde,2020,2020,574.468
KHM,Cambodia,2020,2020,423.664
CMR,Cameroon,2020,2020,253.915
CAN,Canada,2020,2021,120.486
CYM,Cayman Islands (the),2020,2020,685.714
CAF,Central African Republic (the),2020,2020,0.0
TCD,Chad,2020,2020,666.667
CHL,Chile,2020,2021,386.545
CHN,China,2020,2021,549.534
COL,Colombia,2020,2020,210.526
COM,Comoros (the),2020,2020,700.0
COD,Congo (the Democratic Republic of the),2020,2020,25.946
COG,Congo (the),2020,2020,374.663
COK,Cook Islands (the),2020,2020,500.0
CRI,Costa Rica,2020,2021,32.59
CIV,Cote d'Ivoire,2020,2020,421.436
HRV,Croatia,2020,2021,234.139
CUB,Cuba,2020,2020,609.969
